c(A)	volume(A^3)	mol volume(cm^3)	pressure(kB)	E(kJ)	Gibbs()
7.34376543	9.677831231	5.828126286	-6.74	16.0294427	12101.28558
7.009957911	9.237929811	5.563211455	-4.9	16.1989827	13473.00909
6.676150391	8.798028392	5.298296624	-0.91	16.4811522	15999.00721
6.342342872	8.358126972	5.033381793	7.34	16.9523193	20646.82154
6.008535352	7.918225552	4.768466961	22.79	17.5375936	28404.92981
5.674727833	7.478324133	4.50355213	48.92	18.1291886	40160.56562
5.340920313	7.038422713	4.238637299	91.6	19.021884	57847.80166
5.007112793	6.598521294	3.973722468	162.83	19.8244049	84528.52784
4.673305274	6.158619874	3.708807637	276.91	20.6528422	123353.4345
4.339497754	5.718718455	3.443892805	430.82	22.308639	170678.4288
4.005690235	5.278817035	3.178977974	683.11	22.395319	239554.4834
意思是 ： “我仔细考虑过你写的信件了，但是除了成绩单外，你没有找到 研究的老师，请学校八月八号把你开除，请你八月一号和国际学生工作处的工作人员联系一下，八月15号你的学生身份会被取消，我们还是会给你一张三个月的支票，请你走人”
